Title,Description,Score
Comptroller- CPA,"Universal Gaming Group, LLC, (UGG), is your source for first-class service for Illinois Video Gaming Operations.\r\r\rUGG is a family-owned and operated company lead by successful entrepreneurs, who’ve decided to focus their business know-how on this growing industry.\r\r\rWe are dedicated to providing expertise and guidance needed for our clients’ pursuit of this exciting, NEW Video Gaming opportunity in Illinois.\r\r\rWe are now seeing a Senior Accountant for our West Loop office!\r\r\rREQUIRED KNOWLEDGE & EXPERIENCE:\r\r    \r    Familiarity with U.S. GAAP and SEC rules and regulations; \r    \r    \r    Ability to research significant and/or complex accounting issues and prepare technical memorandums that document issues in a clear, logical and comprehensive manner; \r    \r    \r    Strong analytical, verbal and written communication skills, to effectively present to peers and management; \r    \r    \r    Experience in performing multiple projects, carrying out multiple priorities and working with varying team members; \r    \r    \r    Ability to work in a fast-paced environment, meet time-sensitive deadlines and work well through ambiguity and complexity; \r\r\r    The ability to work effectively in a team as well as independently, as required; \r    \r    \r    Detail oriented with good organization skills as well as strong interpersonal and communication skills; \r    \r    \r    Maintain established reporting procedures to comply with internal control requirements; \r    \r    \r    Support month, quarter and year-end closing;\r    \r    \r    Handle and maintain information that is sensitive and confidential. \r\r \r\rMINIMUM QUALIFICATIONS:\r\r    \r    Required bachelors degree in accounting; \r    \r    \r    CPA designation mandatory; \r    \r    \r    At least 4 years of public accounting or private industry experience with knowledge of accounting, finance and SEC and financial reporting areas; and \r    \r    \r    Microsoft platform proficiency. \r\r \rUniversal Gaming Group is an equal opportunity employer\r \r \r\r*Universal Gaming Group is not interested in external agencies please do not solicit!\r\rPlease email Aldo@ugaminggroup.com with inquiries",0.7391728
Accountant AND Financial Analyst Positions,"Corporate Finance and Technical Accounting Opportunities\r\rOverview:\r\r\r    These are highly visible positions within departments that are well known for hiring “top talent"" and have a proven track record of promoting their people into executive level roles.\r\r\r\r    You can expect a rotational & project driven position that will allow for extensive exposure to multiple Business Units as well as the Executive Management team. \r\r\r\r    Positions will have critical input toward the company’s overall financial success and have the ability to work cross-functionally with areas like treasury, legal, finance, tax and operations.\r\r\r\r    Positions are available due to steady growth and recent promotions within the corporate accounting and finance departments.\r\r\r\r    Key Selling Points: Tremendous upward and lateral mobility. The department allows employees to maintain an excellent work life quality/balance as well as providing a dynamic, energetic and positive inner-office culture.\r\r\rDuties and Responsibilities:\r\r\r    Assisting in the oversight of the entire financial reporting process including consolidations of entities as well as technical reporting and analysis.\r    Assisting in the role out of corporate accounting policies and procedures\r    Assist corporate and multiple business divisions with analysis on numerous accounting and financial issues.\r    Ad-hoc reporting used in Executive Management decision making process.\r    Classification of derivatives into proper hedge categories and validation of compliance with risk management policy\r\r",0.7277964
ER REGISTRAR- ER ADMITTING- Full Time Nights-1205008445,"Job:   Admitting/Registration\r\n \r\nHospital/Facility:   419-North Shore Medical Center - Miami, FL\r\n \r\nShift Type* :   Nights\r\n \r\nIf other shift, specify :   \r\n \r\nShift begin time:   \r\n \r\nShift end time:   \r\n \r\nInterviews patient/responsible party to obtain admission data, demographics and insurance information and inputs data into the computer system in a timely fashion.  Completes all appropriate forms and obtains patients' or responsible party's signatures.  Provides copies of these documents to the patient or responsible party.\n\nEnsures all insurance information is correct, verifies benefits upon registration, and inputs all appropriate comments into PBAR system.  Obtains appropriate authorization depending upon the services being rendered.\n\nDemonstrates flexibility, dependability, and cooperativeness in responding to departmental/organizational needs as well as a complete understanding of all hospital emergency procedures.\n\nThis position is for nights and week ends.\r\n \r\nTenet offers equal employment opportunity to all applicants for employment and to all employees regardless of sex, age, race color, religious creed, national origin, ancestry, marital status, sexual orientation, or disability. ",0.7264047
Loan Processor Trainee - Mt. Laurel,"JOB FUNCTIONS:\r\n\r\n After completion of the loan application, the loan processor guides the customer through the home financing through to closing.\r\n Translates and coordinates event logistics, such as investor loan requirements and scheduled events as they relate to home financing. \r\n Sets appropriate customer expectations to meet turnaround times on the receipt of the application package and trailing documents. \r\n Works with internal departments to meet the customer's needs (i.e.). Sales, STARS, Processing and Scenario Underwriting. \r\n Communicates with customers and third party stake holders (i.e. Real Estate Agents, Financial Advisors, etc.). \r\n Assists the Customer by answering phone calls and e-mails, providing support, keeping track of issues and resolutions and using the system and support departments to resolve recurrent problems. \r\n Manages inbound and outbound communications with customer and third party stakeholders. Builds and maintains positive working relationships with third party stakeholders. \r\n Responsible to close a predetermined amount of loans per month. \r\n Consistently maintains a predetermined registration to closing conversion percentage. \r\n Effectively manages a predetermined pipeline within a specified training period. \r\n Meet service results goals. \r\n Completes daily tasks within predetermined expectations",0.72634625
Accounts Receivable II (AR and Billing) oil and gas,"Our client has been in business for over 10 years and they are adding additional staff to this AR business group.  We are seeking professional, organized, customer focused individuals for this role.\r\r1.    Coordinate billing for our monthly fleet assets; rental and compression service\r\r             Understand the requirements for each compression rental and compression service invoicing\r             Establish initial billing contract upon new agreement/start up\r             Process billing changes such as customer name, rate, locations, etc. in accordance to supporting documentation/agreements\r             Terminate billing upon disconnect/return\r             Manage intercompany billing where applicable and reconcile to third party (customer) transactions\r             Timely billing resolution to include preparing reconciliations for presentation to customers \r\r \r2.    EDI Transmissions – data entry for system generated invoices and submission to customers\r\r             Review system generated invoices for completeness \r             Timely entry into customers’ electronic billing systems – Ariba, Oildex, or ADP\r             Weekly reconciliation and completeness check\r             Communicate disputes to appropriate parties and assist in timely resolution \r\r \r3.    Order entry, management and invoicing for equipment cash sales\r\r             Firm understanding of purchase orders and invoicing for equipment sales \r             Review purchase orders and order acknowledgements for accurate order entry driving demand for manufacturing \r             Prior experience with project billing and/or progressive billing upon milestone events\r             Knowledge of revenue recognition principles and inventory management\r             Verifies bill of lading (BOL) and shipping documents prior to invoicing and relieving inventory\r             Works closely with Project Managers and Sales \r             Timely billing resolution to include preparing reconciliations for presentation to customers \r",0.72309417
Assistant to the Real Estate Broker,"Assistant to owner/ broker of a small boutique real estate brokerage specializing in luxury waterfront real estate catering to a very affluent clientele.  Assist broker in day to day business, schedule appointments, communicate with clients and cater to their requests; applicant should be motivated and must be able to multi-task and work in a fast paced work environment which is constantly changing.  Excellent communication skills and basic computer literacy essential, familiarity with Word, Outlook & Excel a must.  5 day work week, hours 10am to 6pm.  Email resumes to jmclennan@spg.cc",0.71236837
"Financial Advisor - Richardson, TX","Chase Investment Services Financial Advisor   A global financial powerhouse, J.P. Morgan Chase is an industry leader. With 100,000 employees in over 60 countries, we draw on a full range of capabilities to provide integrated financial solutions for institutions and individuals worldwide. What does this mean for you, the job seeker? Opportunity! Our broad range of financial services activities, from investment banking to retail banking to e-finance, offer an exceptional range of career options for individuals. If you are interested in working in an environment where leadership, excellence, initiative and diversity are among our core values, then explore the opportunities at JPMorgan Chase. This position requires you to conform to legal and regulatory requirements and guidelines associated with FINRA, SEC, and Chase Investment Services Corp. You will also be required to demonstrate technical expertise, strong sales results in investment products, strong interpersonal skills as well as the ability to provide exceptional service. A successful financial advisor will be able to:   Identify opportunities to expand client relationships Prospect, manage and retain key clients Understand the client's investment goals and objectives and develop a diversified investment plan and strategy to meet goals using developed models and recommended products Advise clients with complex investment relationships on asset allocation and portfolio construction for strategic and tactical decisions Market and implement investment solutions in accordance with client's asset allocation Communicate current market strategies and portfolio structure with assigned clients Coach Personal Bankers (Licensed) on our sales process and educate them on our investment products and services.  If you're interested in working in an environment where leadership, excellence, integrity and diversity are among our core principles, then explore the opportunities at JPMorgan Chase.  Further information about careers at JPMorgan Chase can be found on our website:   www.jpmorganchase.com/careers",0.71220326
$23.00/hr - STAFF ACCOUNTANT (SKILLED NURSING FACILITY),"Accounting Principals is seeking a Staff Accountant! Accounting Principals is an international leader in the staffing industry and only places the best candidates with the most reputable companies in the world. \r\n \r\nJob Description:\r\n \r\nCurrently, we are seeking a Staff Accountant for an established Skilled Nursing Facility management company.  This is a temporary to hire position with the Accounting Department. This is an excellent opportunity to be part of a growing organization! Job duties will include payroll related journal entries, GL account reconciliation, withholding & 401K accruals, bank reconciliations, revenue reporting reconciliation, assist with month end close, & assist with preparing financials for two assigned facilities.  Knowledge of debits & credits a MUST!  BS/BA in Accounting, Finance, or Business Management a MUST.  Looking for 2-3 years of general ledger accounting experience.  Ideal candidate must be organized and able to work in a fast paced environment.  \r\n \r\nGet Results! Call Accounting Principals today and get the results you?ve been looking for!\r\n \r\nPlease send resumes to:\r\nanton.cuyugan@accountingprincipals.com",0.7099835
General Labor & Machine Operator Positions,"ClearStaff On-line Application - Apply Today\r\rCLEARSTAFF - GRAND OPENING....\r\rAre you looking for a career opportunity?\r\rIf so, contact CLEARSTAFF.\r\rYou need to come in and apply with us as soon as possible....\r\rHours: Monday to Friday, 8:00am - 5:00pm\r\rNow, it's up to you if you wish to change your destiny for GREATER Success!  Will you?\r\rDuration of filling out an application/interview: 20 minutes\r\rTime is MONEY!\r\rPlease bring your resume and hiring documents with you.  We are an E-Verify Location.\r\rAddress:\r800 East Roosevelt Road\rBuilding C Suite 3 Lower Level\rGlen Ellyn, IL  60137\r\rConnect with Us:  Facebook, LinkedIn, and Twitter @Wclemmons\r",0.7087592
Senior Accounting Operations Analyst," The Senior Accounting Operations Analyst position is responsible for invoicing WI's most complex DC client relationships in the Strategic and Large Markets.  In addition, this associate will be responsible for administering the credit programs (PEC, ERP, Service Credit, RCP, PRC) in accordance with the client's contract and applicable program guidelines.  Other opportunities will include DB and H&W invoicing as needed.     Quarterly invoicing for a defined book of DC clients, primarily those that have a credit program of some kind. Coordinate the deduction of fees from participants accounts Perform problem resolution of invoices for any over-deducted or rejected fees  Calculation of annual or quarterly credit as applicable for fixed basis point and fixed dollar clients. Process client requests for reimbursement via wire transfer or client requests to offset Fidelity fees in accordance with the contract and applicable credit program guidelines.  Track credit program balances for PEC, ERP and Service Credit Programs. Work closely with Managing Directors and other client service team members to provide  education around the credit programs and related operational guidelines.  Partner with Billing Setup team - research, analyze and resolve escalated invoicing issues and complex inquiries  Work closely with internal business partners to ensure quality service, accurate and timely invoicing, and adherence to client billing best practices. Respond to general and specific billing inquiries and educate business partners on client billing processes and procedures ",0.70772535
Financial Analyst Sr (Admin Expense Budgeting) - 56724,"WellPoint is the nation's leading health benefits company serving the needs of approximately 28 million medical members nationwide. WellPoint is one of the nation's leading health benefits insurer and a Fortune Top 50 company. At WellPoint, we are dedicated to improving the lives of the people we serve and the health of our communities. WellPoint strives to simplify the connection between health, care, and value for our customers.    Bring your expertise to our innovative, achievement-driven culture, and you will discover lasting rewards and the opportunity to take your career further than you can imagine.     Prepares financial and business related analyses and research in such areas as financial and expense performance, rate of return, depreciation, business improvement, and business investment opportunities. Primary duties may include, but are not limited to: Prepares budgets, forecasts, trend analyses and expense accruals. Provides information for various monthly journal entries. Compiles and prepares standard and adhoc financial reports.",0.70250416
Junior Staff Accountant,We are seeking a Junior Staff Accountant for an immediate opening!Responsibilities:Prepare and enter journal entriesBank and account reconciliationsAssist in the preparation of annual budgetAssist in year end auditVerify the accuray of general ledger codingSpecial projects as neededQualifications:Bachelor's degree in AccountingExperience in healthcare or non-profit preferred!Strong Excel skillsExcellent communication skillsSolid analytical skills,0.69986314
Junior Accounting Clerk,\r***Full-Time Junior Accounting Clerk***\r\rPLEASE DO NOT SEND YOUR RESUME IF YOU ARE A FULL_CHARGE BOOKKEEPER. YOUR RESUME WILL NOT BE REVIEWED!\r  \r   \rCarle Place Law firm seeking a Full-Time Junior Accounting Clerk for our Accounting Department.\r\rPosition needs to be filled ASAP \r  \rDescription:\rHigh Volume Data Entry\rPrevious Accounts Receivables Experience\rBank Reconciliations\rGeneral Bookkeeping Experience\rCollection Law Firm experience a plus\r \r  \r \r,0.6973306
Senior Accountant - Casino Accounting,"Come Do Your Best Work Here! \r\r\rCaesars Entertainment is the world's largest casino entertainment company. Since its beginning in Reno, Nevada more than 70 years ago, Caesars has grown through development of new resorts, expansions and acquisitions, and now owns or manages casino resorts on four continents The company's resorts operate primarily under the Harrah's, Caesars and Horseshoe brand names; Caesars also owns the London Clubs International family of casinos and the World Series of Poker. \r\rCaesars Entertainment is focused on building loyalty and value with its customers through a unique combination of great service, excellent products, unsurpassed distribution, operational excellence and technology leadership. We concentrate on building loyalty and value for our customers, employees, business partners, and communities by being the most service-oriented, technology-driven, geographically-diversified company in gaming.\r\rAt Caesars Entertainment, over 70,000 employees each make a unique contribution to your experiences, and to our ultimate success. From nurturing a sense of team with co-workers, to improving the quality of life in their communities, Caesars sets the standard of excellence in the gaming industry with employees who are devoted to delivering truly great service. Our employees are critical to our success.\r\r\rFor addition information regarding Caesars Entertainment, please visit: http://www.caesars.com/corporate/index.html\r\r\rCaesars Entertainment is an Equal Employment Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, national origin, gender, age, religion, disability, sexual orientation, veteran status, or marital status. \r\r\r\r\r\r\r    Prior Employment Verification    \r    Education Verification     \r    Social Security Trace     \r    Criminal Background Check \r    Drug Screen     \r    Motor Vehicles Records (where required for position)\r\rFor a listing of all opportunities at Caesars Entertainment, please go to www.caesarsjobs.com \r\r\r\r\rSupervises and is responsible for all casino accounting as it pertains to Slots, Cage, Table Games, Race and Sports, Keno, Poker, Tournaments, Promotions, Tax and License, and Compliance for the Western Division.  Assists the Casino Accounting Manager in providing property management with all required accounting and control support.\rESSENTIAL FUNCTIONS\r1.       Supervises and assists the Accountant staff in performing daily, weekly, and monthly accounting processes to properly record and classify financial transactions for Casino Accounting.\r2.       Assist the Casino Accounting Manager in establishing and maintaining strong accounting controls sufficient to ensure compliance with the regulation and mandates of all governing bodies, both internal and external.\r3.       Maintaining established acceptable accounting procedures in revenue recognition and tax liability to effectively control the assets of the company.\r4.       Assisting the Casino Accounting Manager in assuring timely responses to internal and external audit recommendations. Manage the implementation of corrective action plans where needed.\r5.       Develop and implement best practices in all areas of Casino Accounting.\r6.       Assists the Casino Accounting Manager in various projects as needed.\r",0.6937585
Stock & Bond Broker Trainee,Midtown Manhattan boutique brokerage firm seeking qualified candidate for a full time Stock & Bond broker Trainee Position. Full sponsorship for Series 7 & 63 exams. You will work alongside seasoned veterans in the industry.\r\rRetail sales training to become a Fully Licensed Stock & Bond Broker: \r\rWe will provide:\r\r    All necessary study materials and tools to pass the Series 7 & 63 Exams\r    \r    Full sponsorship for Series 7 & 63 exams\r    \r    High-energy and active environment\r    \r    Competitive Base Salary plus commissions when duly qualified \r\r\r\rSix figure income opportunity after the first year for the right candidate.,0.6918795
Accounts Receivable & Credit Manager,"Our client is an established high end luxury retail brand based in New York City. Due to recent expansion an opportunity has arisen for a motivated and ambitious Accounts Receivable & Credit Manager with retail experience to join their Accounting team.\r\rReporting directly to the Controller, the Accounts Receivable & Credit Manager is responsible for working with department stores to resolve issues related to the customers’ accounts as well as timely processing of the work flow as it pertains to cash application, shipment releases, and customer inquiries on a daily basis.\r\rAs a member of the accounting group your responsibilities will include:\rChargebacks\r* Duplicate payment and credit\r* Price Discrepancy\r* Shortages – Actual and Concealed\r* Returns & discounts\r* Vendor Violation\r* Freight and Logistics issues\r* Working with factor to reconcile receivables\r\r\rAccount Reconciliation\r* Apply cash on account to open invoices\r* Cleanup of existing credits where applicable\r* Resolve external inquiries\r* Prepare and mail customer statements\r* Assist with summary packages\r ",0.68702847
Accounts Receivable Manager - A/R,"\rAccounts Receivable Manager - A/R\r\r\rEMSI is currently hiring an Accounts Receivable Manager in Waco, TX.\rJoin EMSI Today!\rExamination Management Services, Inc is a national firm that provides a variety of risk management services to the insurance and business communities. We are customer driven and technology focused, with a commitment to providing cutting edge business solutions and service excellence to our customers.\r\rAbout The Opportunity:\r\rThe A/R Manager will be responsible for managing and assisting with the development of a team of collections specialists and will work closely with the Director of Accounts Receivable, and of course our operating divisions to maintain AR. The ideal candidate will have 5+ years of accounts receivable, credit, collections and deductions supervisory experience in healthcare or diverse businesses a plus. The A/R Manager will perform A/R duties, including but not limited to collection activities, credit reviews, and cash application. \r\rEssential Functions:\r\r\r    Guide Accounts Receivable providing direction for job responsibilities, ensuring compliance of existing internal controls and maintaining a strong team atmosphere\r    Assist with preparation of external audit schedules and reconciliations\r    Set up or update customer accounts\r    Contact customers as needed for collection activity\r    Reporting to clients and internal associates\r    Handle client calls and requests\r    Assist or back-up AR Coordinators as needed\r    Prepare manual invoices, such as for Advertising Allowance\r    Assist with daily bank spreadsheets for internal use\r    Prepare cash reconciliations\r    Other duties as assigned. \r\r",0.68557954
Staff / General Ledger Accountant - Southfield,"Our client is a growing publicly traded company in the Western Suburbs. Due to recent growth our client is seeking to add an up and coming and talented Staff Accountant to its team. This is a great opportunity to join an organization that is poised for tremendous growth in the coming years. If you are a degreed Staff Accountant, with at least 2 years of hands on General Ledger and Financial Statement experience, and want to join a stable profitable organization then this could be the opportunity you have been looking for.\r \rIn this role you will be responsible for the following :  \r\r    Prepare monthly Financial Statements for multiple company entities\r    Perform monthly General Ledger account reconciliations and analysis, as required.\r    Assist with month-end closing. \r    Monthly bank reconciliation as required.\r    Maintain Fixed Asset System.\r    Other duties as assigned. \r",0.684594
CFO/VP Finance & Analytics," MOLINA HEALTHCARE - CFO/VP FINANCE & ANALYTICS  JOB SUMMARY  Lead financial analysis of the health plan’s performance.  Lead and support financial and operational analysis for Medical Management and Provider Contracting. Review, evaluate and improve company business logic and data sources. Ensure timely creation of management reports. Ensure data integrity.  Assist in developing, implementing and monitoring the health plan’s strategic plan.  Responsible for daily operations of Finance and Medical Data Management functions, including systems. Interact with multiple Molina Departments including UM, QI, Finance, Claims, Member Services and Provider Contracting.  ESSENTIAL FUNCTIONS  Duties and Responsibilities   Review and analyze premium rates received from the state for appropriateness.  Develop analysis and arguments to support rate negotiations with the state.  Monitor risk adjustment factors applied to rates (as applicable) and evaluate the financial impact of periodic adjustments  Review and analyze medical cost performance, including provider contract and medical management efficiency, identifying and implementing opportunities for improved profitability. Monitor and compare across regions, populations, provider panels, and external and internal benchmarks  Review and analyze monthly claims reserves for accuracy.  Assist corporate actuarial department in setting monthly claims reserves  Review and analyze administrative costs, identifying and implementing opportunities for improved profitability.  Review and interpret health plan financial performance with plan staff and corporate accounting staff. Monitor actual to budget performance. Identify and implement appropriate responses to budget variances.   Develop and prepare management reports.  Manage health plan functional departments including Reporting and Analysis, Project Management Office, Facilities Services, and Enrollment  Manage relationship with state department of insurance and other regulators for all financial matters  Develop annual budget  Reconcile premium receipts to eligibility in QNXT claims system  Support health plan strategic analysis and planning  Review and analyze financial terms of provider contracts and recommend changes.  Develop scenario modeling and identify cost savings  Respond to all UM data needs, facilitating care coordination  Work with and support MHI Healthcare Data Analysis Department to support reporting, financial performance, common metrics and formatting and increase quality in all healthcare data analytical activities.  Coordinate activities with corporate personnel to avoid duplication of work.  Assure full data support with regard to data needs for quality improvement activities (HEDIS and CAHPS).  Provide local plan support for provider report card/performance monitoring activities with regard to quality, pay for performance (P4P) and medical costs  Represent the finance function by participating on committees, task forces, work groups, and multidisciplinary teams as necessary  Acts as a liaison to both internal and external customers on behalf of Molina and data management areas  Manage the encounter process for the health plan, ensuring that all encounters are successfully submitted and that errors are resolved.  Ensure the encounter process fully supports rate setting exercises, collection of case rate payments, and maximization of risk scores while complying with all applicable State guidelines  Maintain cooperative and effective workplace relationships and adhere to company code of conduct  Other duties as assigned   Knowledge, Skills and Abilities   Computer Literacy (Microsoft Office Products)  Interpersonal communication skills  Excellent verbal and written communication skills  Ability to abide by Molina’s policies  Ability to maintain attendance to support required quality and quantity of work  Maintain confidentiality and comply with Health Insurance Portability and Accountability Act (HIPAA)  Ability to establish and maintain positive and effective work relationships with coworkers, clients, members, providers and customers   QUALIFICATIONS  Required Education    BA, BS, in Finance, Accounting, or related field; Advanced training or experience in healthcare analytics                                                                                                                Preferred Education   MBA, MS in Finance, Accounting , or post graduate training in finance       Required Experience        10 years progressive healthcare finance or analytical experience.   5+ years managed care experience, preferably working with the Medicaid Product.  3+ years previous supervisory/management experience  3+ years SQL, programming skills, relational database and financial analysis skills   Preferred Experience   3+ years of accounting/finance experience    Molina Healthcare is an Equal Opportunity Employer M/F/D/V. ",0.68271035
Entry Level Accountant - Accounts Payable,"\rDovèl Technologies, Inc., a CMMI® Level 3 company, is a leader in Service Oriented Architecture (SOA), system integration, and software development focused on Defense & Homeland Security Systems and Health Information Technology.  For more than 20 years, Dovèl has provided IT systems and support to Federal and Defense clients.  We have a current opening for an Entry Level Accountant - Accounts Payable  individual to internally support the vendor AP process in McLean, VA.\r\rPosition Responsibilities:\r\rThe Entry Level Accountant reports directly to the Director of Contracting & Accounting, and is responsible for the oversight of the vendor AP process for the company.  This individual will perform the day to day processing of AP transactions, including, but not limited to, vendor file maintenance, manual and automated invoice processing and timely disbursements.  This will also include processing and monitoring payments and expenditures.\r\rHe/She will be responsible for the resolution of vendor account discrepancies, coordination of AP functions within month-end and year-end closing schedules, monthly reconciliation of AMEX (corporate credit card).  As well as, responsible for entering expense reports, hours and payroll calculations.  Other duties as assigned.\r\r\r     Maintain Financial System (NAVISION)\r     Enter all AP invoices\r     Setup ACH payments, cut checks\r     Process Expense Reports\r     Reconciliation of AMEX\r",0.6768469
Staff Accountant II,\r    Active participant in various aspects of the month-end close cycle.\r    Prepare and distribute daily cash schedule and weekly cash forecast.\r    Reconciliation of various general ledger accounts.\r    Involvement in the forecasting and budgeting process.\r    Financial analysis and monthly trend reporting.\r    Distribute various financial statements and reports to managers for analysis.\r    Assist in providing supporting documents to external auditors.\r    Provide support to other members of the accounting team and work on special projects as needed.\r,0.67629814
NEW FINANCE GRADS - INVESTMENT & CONSULTING TRAINING PROGRAM,"\rENTRY LEVEL FINANCIAL SERVICES ENERGY CONSULTANTS REQUIRED FOR GOVERNMENT DEREGULATION PLANS\r\r*************************************************************************************************************\r\rRECOGNIZED MEMBER OF PHILADELPHIA CHAMBER OF COMMERCE AND BBB\r*************************************************************************************************************\rVISIT OUR WEBSITE\r\r\rYou may apply by emailing us at hr@gmcphilly.com, by submitting your resume online, or (for immediate consideration) by calling us at 215-279-8843.\r\rAt GLOBAL MARKETING CONSULTING we manage the financial services sales campaigns for 37 multi-billion dollar clients, but currently need assistance with our Fortune 500 Energy CLIENT APG&E. \r\r\rThis Entry Level Financial Services Sales Consulting Training Program is designed to develop finance and business entrepreneurs to possibly attain a junior partnership standing within our firm and help us open 20 new offices.\r\r\r\rWe have just signed contracts with every major deregulated utility company in the Northeast to be EXCLUSIVE Financial Service Management Consultants for APG&E with targeted marketing partnerships with thousands of commercial corporations. \r\r\rFinancial Service Marketing Associates and Finance Business Development Consulting Analysts will be cross trained as entry level regional financial sales analysts and upon completion of our program, will be subsequently responsible for national financial campaign management for not only APG&E but also for all future financial marketing initiatives of other clients as well.\r\r\rFor both positions we require ambitious, competitive, outgoing and determined individuals. Energy & Financial knowledge is a plus as we are determined to quadruple corporate enrollment in the next quarter and open 20 offices in the next year!!\r\r\r",0.671681
Contract  Audit Mortgage Underwriter,"Our client is seeking a Mortgage Underwriter. The potential candidate will check and review loans submitted by other Underwriters. \r \r\r    Reviews all loan submitted by the Underwriters\r    Check each individual Underwriter errors \r    Demonstrate ability to work in a multidisciplinary team environment. \r    If the error is correctable, the contractor will go ahead and correct it and send it onto another department\r    If it isn’t correctable, the contractor will document the error and send it onto another department \r",0.67049426
Bursar,"Campus seeking an experienced Bursar who is responsible for providing student account and billing information; receives payments for tuition, fees and miscellaneous campus charges; provides collection of delinquent accounts; delivers refunds and financial aid residuals after disbursement. This individual will ensure payment plans are arranged and payments are received in a timely manner.",0.67025644
BOOKKEEPER For Foreclosure law firm,BOOKKEEPER  For Foreclosure law firm. Will train  paralegal with FC exp. Email res w/sal reqs to:  Anna.Lin@roachlawfirm.com  WEB ID ND16894396\r\n Source - Newsday,0.66806525
FINANCE & ACCOUNTING PROFESSIONAL,"\rApril 2012                                                                                                                   Confidential \r \r \r\rFINANCE & ACCOUNTING LEADER\rProfessional Services \r \r \rSmall financial consulting firm has an opportunity for a self-directed person to play a lead role in finance, consulting, accounting, systems and related projects for a variety of clients.  The successful candidate must be experienced in the perspective of entrepreneurial enterprises.  A blend of professional service and corporate experience a plus, and having attained the position of controller of Chief Financial Officer.\r \rResponsibilities Include:\r\r    Ability to conceive creative solutions to business issues\r    Drafting policies & procedures\r    Financial analysis\r    Month-end GL review and closing\r    Financial statement preparation\r    Creating multi-year financial models \r    Review / understand contracts\r    Create effective Board-level PowerPoint presentations\r    Research and summarize accounting and tax topics\r    Advising on with the full-range of HR requirements of client companies\r    Effectively work with staff, peers, executive management, lawyers, etc.\r    Basic understanding of setting up a computer, including network access\r    Effectively execute special projects (non-routine) as required\r    and…not hesitant to do detail work when required\r\r \r\r \rIf you have a strong entrepreneurial perspective and understanding, please apply.  Our office is in downtown Northville, Michigan, with substantial work at local client locations.  To apply, please email your resume, with a cover letter, to hr@cfogroup.net.\r",0.66717976
Jr. - Mid Level Business Intelligence Developer,"Global Employment Solutions is currently seeking a Microsoft Business Intelligence Developer for one of clients here in the Atlanta area. This opportunity is a contract-to-hire position. The ideal Business Intelligence Developer will be knowledgeable in one or more specific areas of development in Data Warehousing and Business Intelligence (ie. SSIS, SSAS, and/or SSRS). The ideal Business Intelligence Developer will also have experience developing BI solutions from web or E-commerce related data. \r\rJob Description \rThis position focuses on the development and delivery of business intelligence solutions including: dashboards, scorecards, reports, user interfaces, and associated data structures using Microsoft technology, applications and tools. The Business Intelligence Developer will interface with business users to understand their needs and then translates them into solutions which deliver business value. \r\r\rIf you are looking for an exciting and challenging place to employ your Business Intelligence Development skills, and have experience developing solutions using SSIS, SSAS and/or SSRS, please submit your resume today.  This is a permanent opportunity, that will begin with a 3 month contract.  \r\rMajor Responsibilities/Activities\r\r    Develops supports and delivers specific Business Intelligence solutions\r    Utilizes Microsoft Business Intelligence based Tools, Services and Support (SSIS, SSAS, SSRS, PPS/SP, etc.) for DW solutions.\r    Communicates with business users to deliver reports and other user interfaces that drive business value and efficiently and effectively leverage the use of data.\r    Attends and provides input to technical solutions in architecture meetings determining project scope, tasks, time-frame, resources to provide project estimates for the BI DW Team Lead.\r    Begins to interact with a variety of internal and external users to develop technical designs and reviews with the rest of the project team as appropriate.\r    Attains knowledge of data warehouse architecture and practices Lean/Agile development methods and techniques.\r    Attains knowledge of the data warehouse, data mart models and the business information maintained in each.\r    Reconciles data and processing problems.\r    Delivers solutions that satisfy and delight business users.\r    Creates detailed documentation of data warehouse and data marts, Cube structures, and ETL as part of project solutions and presents results to Technology.\r    Develops simple Stored Procedures to support ETLs and Reporting.\r    Gains knowledge of data aggregation and experience in delivering solutions with large volumes (tables with hundreds of GBs; TB –size databases) of data. \r    Develops email subscriptions and reports.  \r    Develops solutions using Lean and Agile software development principles and processes. \r\r\r\r\r",0.6595929
Escrow Assistant / Title Curative Associate --- $14.00/hr.,"The Mergis Group is a staffing and recruitment industry leader with thousands of satisfied clients nationwide. We are currently seeking a/an:\r  \r\rEscrow Assistant / Title Curative Associate\r\r\r5+ month temp/contract position\r\r\r$14.00/hr.\r\r\rRESPONSIBILITIES:\r\r    Provide Support to department by assisting with request and obtaining subordination agreements\r    Communicate requirements and other information regarding agreements as related to closing\r    Prepare documents required for transactions\r    NOTE:  Must be available to work 10:00am – 7:00pm Monday – Friday and Saturdays 9:00am – 1:00pm, as needed, so must be flexible with hours and able to work OT as needed.\r\r\r\r",0.6582928
Bookkeeper Asst.,EMAIL/FAX REPLY STATING SALARY & EXPERIENCE Source - Miami Herald,0.6582851
